ID,Name,Domain,Group,Location,Topic,Metadata
energy_consumption_bathroom_dlights_integral_mwh_day_1,Bathroom Lights Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_bathroom_dlights_integral_mwh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Bathroom Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_bathroom_dlights_integral_mwh_day_1/state"", ""unique_id"": ""energy_consumption_bathroom_dlights_integral_mwh_day_1""}"
energy_consumption_bathroom_dlights_integral_wh_all_dtime_1,Bathroom Lights Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_bathroom_dlights_integral_wh_all_dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Bathroom Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_bathroom_dlights_integral_wh_all_dtime_1/state"", ""unique_id"": ""energy_consumption_bathroom_dlights_integral_wh_all_dtime_1""}"
energy_consumption_dining_dlights_integral_mwh_day_1,Dining Lights Energy,Energy,Consumption,Dining,haas/sensor/config/sensor/anode/energy_consumption_dining_dlights_integral_mwh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Dining""], ""qos"": 1, ""name"": ""Dining Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_dining_dlights_integral_mwh_day_1/state"", ""unique_id"": ""energy_consumption_dining_dlights_integral_mwh_day_1""}"
energy_consumption_dining_dlights_integral_wh_all_dtime_1,Dining Lights Energy,Energy,Consumption,Dining,haas/sensor/config/sensor/anode/energy_consumption_dining_dlights_integral_wh_all_dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Dining""], ""qos"": 1, ""name"": ""Dining Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_dining_dlights_integral_wh_all_dtime_1/state"", ""unique_id"": ""energy_consumption_dining_dlights_integral_wh_all_dtime_1""}"
energy_consumption_ensuite_dlights_integral_mwh_day_1,Ensuite Lights Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_ensuite_dlights_integral_mwh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Ensuite Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_ensuite_dlights_integral_mwh_day_1/state"", ""unique_id"": ""energy_consumption_ensuite_dlights_integral_mwh_day_1""}"
energy_consumption_ensuite_dlights_integral_wh_all_dtime_1,Ensuite Lights Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_ensuite_dlights_integral_wh_all_dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Ensuite Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_ensuite_dlights_integral_wh_all_dtime_1/state"", ""unique_id"": ""energy_consumption_ensuite_dlights_integral_wh_all_dtime_1""}"
energy_consumption_fan_integral_wh_all_dtime_1,Fan Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_fan_integral_wh_all_dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Fan Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_fan_integral_wh_all_dtime_1/state"", ""unique_id"": ""energy_consumption_fan_integral_wh_all_dtime_1""}"
energy_consumption_fan_integral_wh_day_1,Fan Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_fan_integral_wh_day_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Fan Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_fan_integral_wh_day_1/state"", ""unique_id"": ""energy_consumption_fan_integral_wh_day_1""}"
energy_consumption_filter_integral_wh_all_dtime_1,Filter Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_filter_integral_wh_all_dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Filter Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_filter_integral_wh_all_dtime_1/state"", ""unique_id"": ""energy_consumption_filter_integral_wh_all_dtime_1""}"
energy_consumption_filter_integral_wh_day_1,Filter Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_filter_integral_wh_day_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Filter Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_filter_integral_wh_day_1/state"", ""unique_id"": ""energy_consumption_filter_integral_wh_day_1""}"
energy_consumption_freezer_integral_wh_all_dtime_1,Freezer Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_freezer_integral_wh_all_dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Freezer Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_freezer_integral_wh_all_dtime_1/state"", ""unique_id"": ""energy_consumption_freezer_integral_wh_all_dtime_1""}"
energy_consumption_freezer_integral_wh_day_1,Freezer Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_freezer_integral_wh_day_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Freezer Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_freezer_integral_wh_day_1/state"", ""unique_id"": ""energy_consumption_freezer_integral_wh_day_1""}"
energy_consumption_hallway_dlights_integral_mwh_day_1,Hallway Lights Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_hallway_dlights_integral_mwh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Hallway Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_hallway_dlights_integral_mwh_day_1/state"", ""unique_id"": ""energy_consumption_hallway_dlights_integral_mwh_day_1""}"
energy_consumption_hallway_dlights_integral_wh_all_dtime_1,Hallway Lights Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_hallway_dlights_integral_wh_all_dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Hallway Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_hallway_dlights_integral_wh_all_dtime_1/state"", ""unique_id"": ""energy_consumption_hallway_dlights_integral_wh_all_dtime_1""}"
energy_consumption_kitchen_dlights_integral_mwh_day_1,Kitchen Lights Energy,Energy,Consumption,Kitchen,haas/sensor/config/sensor/anode/energy_consumption_kitchen_dlights_integral_mwh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Kitchen""], ""qos"": 1, ""name"": ""Kitchen Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_kitchen_dlights_integral_mwh_day_1/state"", ""unique_id"": ""energy_consumption_kitchen_dlights_integral_mwh_day_1""}"
energy_consumption_kitchen_dlights_integral_wh_all_dtime_1,Kitchen Lights Energy,Energy,Consumption,Kitchen,haas/sensor/config/sensor/anode/energy_consumption_kitchen_dlights_integral_wh_all_dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Kitchen""], ""qos"": 1, ""name"": ""Kitchen Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_kitchen_dlights_integral_wh_all_dtime_1/state"", ""unique_id"": ""energy_consumption_kitchen_dlights_integral_wh_all_dtime_1""}"
energy_consumption_lamp_dlights_integral_mwh_day_1,Lamp Lights Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_lamp_dlights_integral_mwh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Lamp Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_lamp_dlights_integral_mwh_day_1/state"", ""unique_id"": ""energy_consumption_lamp_dlights_integral_mwh_day_1""}"
energy_consumption_lamp_dlights_integral_wh_all_dtime_1,Lamp Lights Energy,Energy,Consumption,Home,haas/sensor/config/sensor/anode/energy_consumption_lamp_dlights_integral_wh_all_dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Home""], ""qos"": 1, ""name"": ""Lamp Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_lamp_dlights_integral_wh_all_dtime_1/state"", ""unique_id"": ""energy_consumption_lamp_dlights_integral_wh_all_dtime_1""}"
energy_consumption_laundry_dlights_integral_mwh_day_1,Laundry Lights Energy,Energy,Consumption,Laundry,haas/sensor/config/sensor/anode/energy_consumption_laundry_dlights_integral_mwh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Laundry""], ""qos"": 1, ""name"": ""Laundry Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_laundry_dlights_integral_mwh_day_1/state"", ""unique_id"": ""energy_consumption_laundry_dlights_integral_mwh_day_1""}"
energy_consumption_laundry_dlights_integral_wh_all_dtime_1,Laundry Lights Energy,Energy,Consumption,Laundry,haas/sensor/config/sensor/anode/energy_consumption_laundry_dlights_integral_wh_all_dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Laundry""], ""qos"": 1, ""name"": ""Laundry Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_laundry_dlights_integral_wh_all_dtime_1/state"", ""unique_id"": ""energy_consumption_laundry_dlights_integral_wh_all_dtime_1""}"
energy_consumption_lounge_dlights_integral_mwh_day_1,Lounge Lights Energy,Energy,Consumption,Lounge,haas/sensor/config/sensor/anode/energy_consumption_lounge_dlights_integral_mwh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Lounge""], ""qos"": 1, ""name"": ""Lounge Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_lounge_dlights_integral_mwh_day_1/state"", ""unique_id"": ""energy_consumption_lounge_dlights_integral_mwh_day_1""}"
energy_consumption_lounge_dlights_integral_wh_all_dtime_1,Lounge Lights Energy,Energy,Consumption,Lounge,haas/sensor/config/sensor/anode/energy_consumption_lounge_dlights_integral_wh_all_dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Lounge""], ""qos"": 1, ""name"": ""Lounge Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_lounge_dlights_integral_wh_all_dtime_1/state"", ""unique_id"": ""energy_consumption_lounge_dlights_integral_wh_all_dtime_1""}"
energy_consumption_office_dlights_integral_mwh_day_1,Office Lights Energy,Energy,Consumption,Office,haas/sensor/config/sensor/anode/energy_consumption_office_dlights_integral_mwh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Office""], ""qos"": 1, ""name"": ""Office Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_office_dlights_integral_mwh_day_1/state"", ""unique_id"": ""energy_consumption_office_dlights_integral_mwh_day_1""}"
energy_consumption_office_dlights_integral_wh_all_dtime_1,Office Lights Energy,Energy,Consumption,Office,haas/sensor/config/sensor/anode/energy_consumption_office_dlights_integral_wh_all_dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Office""], ""qos"": 1, ""name"": ""Office Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_office_dlights_integral_wh_all_dtime_1/state"", ""unique_id"": ""energy_consumption_office_dlights_integral_wh_all_dtime_1""}"
energy_consumption_pantry_dlights_integral_mwh_day_1,Pantry Lights Energy,Energy,Consumption,Pantry,haas/sensor/config/sensor/anode/energy_consumption_pantry_dlights_integral_mwh_day_1/config,"{""unit_of_measurement"": ""mWh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Pantry""], ""qos"": 1, ""name"": ""Pantry Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_pantry_dlights_integral_mwh_day_1/state"", ""unique_id"": ""energy_consumption_pantry_dlights_integral_mwh_day_1""}"
energy_consumption_pantry_dlights_integral_wh_all_dtime_1,Pantry Lights Energy,Energy,Consumption,Pantry,haas/sensor/config/sensor/anode/energy_consumption_pantry_dlights_integral_wh_all_dtime_1/config,"{""unit_of_measurement"": ""Wh"", ""json_attributes"": [""Energy"", ""Consumption"", ""Pantry""], ""qos"": 1, ""name"": ""Pantry Lights Energy"", ""device"": {""connections"": [[""id"", ""C82A1455C70C""]], ""sw_version"": ""1001"", ""model"": ""ASystem"", ""name"": ""ANode"", ""manufacturer"": ""Jane and Graham""}, ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/energy_consumption_pantry_dlights_integral_wh_all_dtime_1/state"", ""unique_id"": ""energy_consumption_pantry_dlights_integral_wh_all_dtime_1""}"
